id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9
927,product-927,182,249,167,206,127,108,154,153,238,144,31,25
928,product-928,97,97,66,184,159,93,124,146,145,209,90,165
929,product-929,147,173,44,140,112,132,113,56,94,64,80,184
930,product-930,209,241,178,213,89,144,52,241,165,86,109,166
931,product-931,25,85,212,135,39,72,205,34,171,111,196,116
932,product-932,190,210,71,169,102,50,130,31,50,188,137,200
933,product-933,214,251,68,84,56,130,68,127,153,53,131,92
934,product-934,76,80,57,41,36,229,155,172,59,176,154,161
935,product-935,136,205,201,71,116,212,53,47,117,91,186,91
936,product-936,43,85,238,204,160,126,114,254,125,161,68,187
937,product-937,17,40,76,221,102,151,130,9,15,189,200,40
938,product-938,172,226,119,36,166,182,224,248,95,88,113,103
939,product-939,186,231,189,16,193,123,195,166,136,12,123,214
940,product-940,213,223,152,104,47,38,114,115,197,88,129,178
941,product-941,62,98,177,39,162,122,20,158,36,112,189,64
942,product-942,194,223,135,91,178,91,172,176,184,160,157,161
943,product-943,52,88,245,82,218,78,69,162,65,174,166,200
944,product-944,192,288,220,82,79,250,173,151,88,174,202,178
945,product-945,137,215,30,106,134,95,25,77,152,148,112,213
946,product-946,118,191,190,31,151,108,63,105,136,113,80,127
947,product-947,23,102,82,172,182,149,116,186,276,85,119,208
948,product-948,29,57,178,170,227,240,61,145,122,23,194,124
949,product-949,44,99,95,207,115,177,167,160,193,141,194,29
950,product-950,65,69,50,180,99,176,118,89,163,111,193,122
951,product-951,179,198,120,158,158,156,217,68,187,144,58,190
952,product-952,47,124,78,89,144,173,132,66,113,94,93,148
953,product-953,173,204,45,105,180,3,181,195,222,103,40,196
954,product-954,18,71,173,38,233,235,146,75,79,106,264,46
955,product-955,146,178,139,98,139,10,84,117,122,204,171,49
956,product-956,197,218,131,83,30,119,244,81,133,87,111,134
957,product-957,154,191,155,163,205,118,112,196,182,72,106,161
958,product-958,170,241,201,167,169,75,169,188,13,107,94,72
959,product-959,66,129,242,72,201,171,179,27,18,196,154,88
960,product-960,32,123,222,153,188,238,87,56,180,161,57,54
961,product-961,5,61,98,177,179,153,263,126,29,190,173,129
962,product-962,209,239,95,56,163,80,93,132,38,88,87,132
963,product-963,41,126,79,199,95,92,154,16,135,87,48,177
964,product-964,209,261,115,169,63,243,200,78,19,187,149,200
965,product-965,182,223,83,190,136,72,131,81,98,191,147,80
966,product-966,81,84,69,50,208,186,162,35,73,20,152,14
967,product-967,201,260,59,79,76,56,197,229,217,158,150,63
968,product-968,27,99,37,71,153,119,145,79,146,51,212,142
969,product-969,160,241,190,199,169,168,211,59,221,104,165,11
970,product-970,66,85,192,143,12,134,161,218,166,67,226,72
971,product-971,154,191,249,123,87,134,182,78,109,80,66,107
972,product-972,207,264,94,15,161,69,127,38,69,64,60,204
973,product-973,145,226,43,82,85,63,68,148,101,98,111,59
974,product-974,151,201,200,79,65,69,151,175,164,161,232,58
975,product-975,93,191,85,31,50,35,150,53,82,26,154,200
976,product-976,124,136,176,171,76,191,199,129,86,136,125,95
977,product-977,145,215,195,120,198,154,103,10,143,175,167,111
978,product-978,97,108,53,125,56,75,29,98,101,177,139,166
979,product-979,151,159,94,241,94,40,220,134,204,44,84,134
980,product-980,279,341,38,140,172,55,61,116,17,89,101,94
981,product-981,134,204,230,52,49,124,45,109,67,72,121,35
982,product-982,163,165,129,100,125,202,62,81,99,94,189,129
983,product-983,88,133,111,99,128,236,79,39,162,210,62,209
984,product-984,83,118,175,46,61,199,23,181,24,84,133,9
985,product-985,28,42,217,50,217,105,103,30,95,135,165,79
986,product-986,30,94,70,242,114,135,28,152,108,29,170,207
987,product-987,191,278,65,11,152,187,200,218,206,34,141,137
988,product-988,162,216,141,150,29,188,96,213,104,216,137,118
989,product-989,197,211,196,130,147,272,192,207,137,107,159,62
990,product-990,119,173,122,65,65,43,45,119,129,207,255,177
991,product-991,52,69,142,155,99,72,40,204,63,94,59,230
992,product-992,68,130,17,119,15,204,26,173,139,196,182,53
993,product-993,164,190,42,130,203,118,59,242,48,89,251,12
994,product-994,195,204,163,195,51,160,135,134,201,221,73,64
995,product-995,217,314,168,132,109,81,129,186,188,148,192,260
996,product-996,183,239,152,123,76,90,38,51,91,189,112,99
997,product-997,60,100,244,133,139,171,16,144,153,197,166,226
998,product-998,190,279,78,3,103,174,33,48,133,104,172,127
999,product-999,121,197,138,167,177,184,102,176,62,129,42,57
1000,product-1000,142,204,98,19,12,202,182,63,92,162,175,101
